Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 12254, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 25527, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 9700, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 3496, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 2022, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 14827, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 10139, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 8112, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 34249, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 10125, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 50145, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 19402, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 14791, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 29152, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 57316, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 64976, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 51667, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 45501, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 60347, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 64415, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 51125, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 40378, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 1513, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 20362, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 46555, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 10132, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 5061, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 37860, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 46559, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 37817, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 54699, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 21917, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 17300, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 13291, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 44516, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 8614, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 16266, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 64912, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 42900, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 20893, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 26081, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 30614, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 16804, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 6580, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 53713, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 9681, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 20429, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 38311, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 22956, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 37779, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 43967, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 63386, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 28555, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 42895, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 17812, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 36319, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 9616, SYN, TCP, 4
